DAY,Node,Call Drop%,Call Drops
7/19/2021,CADCHGAZZ,0.18,6
7/19/2021,CADCHIAZZ,1.33,322
7/19/2021,CACDHAAZZ,2.7,595
7/19/2021,CACDHBAZZ,0.89,276
7/19/2021,CACDHCAZZ,0.52,72
7/19/2021,CAZBZGAZZ,0.8,819
7/19/2021,CAZBZIAZZ,0,0
7/19/2021,CACZBAAZZ,0.43,277
7/19/2021,CACZBBAZZ,1.02,1563
7/19/2021,CABHEAAZZ,1.03,457
7/19/2021,CABHEBAZZ,0.41,22
7/19/2021,CABHECAZZ,0.63,24
7/19/2021,CABHEDAZZ,1.42,1176
7/19/2021,CACEHAAZZ,1.85,1797
7/19/2021,CACEHBAZZ,3.43,4042
7/19/2021,CACEHCAZZ,2.16,5060
7/19/2021,CAADFAAZZ,0.76,656
7/19/2021,CAADFBAZZ,0.87,656
7/19/2021,CAADFCAZZ,0.42,175
7/19/2021,FCAFEZGAZ,0.34,101
7/19/2021,FCAFEZHAZ,0.37,157
7/19/2021,FCADGFBAA,0,0
7/19/2021,CAFGDBAAZ,0,0
7/19/2021,CAAEIAAZZ,9.7,13
7/19/2021,CAAEIBAZZ,4.41,79
7/19/2021,CAZCDAAZZ,0.6,502
7/19/2021,CAZCDBAZZ,0.56,655
7/19/2021,CAZCDCAZZ,0.43,108
7/19/2021,CADCDGAZZ,0.97,126
7/19/2021,CADCDHAZZ,0.83,402
7/19/2021,CABEHAAZZ,2.76,2614
7/19/2021,CCABEHAAZ,1.92,1445
7/19/2021,CCABEHBAZ,0.44,92
7/19/2021,CCABEHCAZ,1.44,37
7/19/2021,CCABEHDAZ,1.35,433
7/19/2021,CCABEHEAZ,1.33,313
7/19/2021,CCABEHFAZ,1.99,102
7/19/2021,CCABEHGAZ,1.49,159
7/19/2021,CACAAAAZZ,0.91,267
7/19/2021,CACAABAZZ,1.42,218
7/19/2021,CACAACAZZ,0.92,322
7/19/2021,CAHZGAAZZ,2.67,943
7/19/2021,CAHZGBAZZ,1.52,281
7/19/2021,CAHZGCAZZ,1.92,1184
7/19/2021,CAFCGGAZZ,0.8,70
7/19/2021,CADGFAAZZ,0.49,267
7/19/2021,CADGFBAZZ,0.59,83
7/19/2021,CADGFCAZZ,1.64,789
7/19/2021,CABGZAAZZ,2.31,5138
7/19/2021,CABGZBAZZ,0.86,1210
7/19/2021,CABGZCAZZ,1.25,1557
7/19/2021,CACEIAAZZ,4.6,2170
7/19/2021,CACEIBAZZ,4.21,1534
7/19/2021,CACEICAZZ,4.7,4086
7/19/2021,CACEGAAZZ,1.89,705
7/19/2021,CACEGBAZZ,0.67,486
7/19/2021,CACEGCAZZ,2.74,6448
7/19/2021,CAGZABBAZ,0,0
7/19/2021,CAADEAAZZ,2.13,467
7/19/2021,CAADEBAZZ,0.83,1172
7/19/2021,CAADECAZZ,0.88,549
7/19/2021,CAACGAAZZ,0.46,190
7/19/2021,CAACGBAZZ,0.84,2035
7/19/2021,CAACGCAZZ,0.57,618
7/19/2021,CAFAHGAZZ,0.84,498
7/19/2021,CAFBCGAZZ,0.66,104
7/19/2021,CAFBCHAZZ,0.73,13
7/19/2021,CAFBAGAZZ,1.11,836
7/19/2021,CAFBBGAZZ,0.59,44
7/19/2021,CAFAFGAZZ,0.52,7
7/19/2021,CAFAGGAZZ,1.65,4
7/19/2021,CAFAGHAZZ,0.58,2
7/19/2021,CAFAIGAZZ,0.69,4
7/19/2021,CAFAIHAZZ,0.18,2
7/19/2021,CAFAIIAZZ,0.33,1
7/19/2021,CAAZDAAZZ,0.53,1031
7/19/2021,CAAZDBAZZ,1.77,1717
7/19/2021,CAAZDCAZZ,0.77,978
7/19/2021,CAAZDDAZZ,0.81,652
7/19/2021,CACFHAAZZ,0.59,768
7/19/2021,CACFHBAZZ,1.38,1222
7/19/2021,CACFHCAZZ,0.73,327
7/19/2021,CACCCAAZZ,0.24,291
7/19/2021,CACCCBAZZ,0.21,160
7/19/2021,CACCCCAZZ,0.47,351
7/19/2021,CAAFAAAZZ,1.56,1481
7/19/2021,CAAFABAZZ,1.7,905
7/19/2021,CAAFACAZZ,2.5,7255
7/19/2021,CACCDAAZZ,0.06,15
